soc_2018_harmonized,occ_title,employment,median_wage,growth_profile_score,aioe_score
29-2061,Licensed Practical and Licensed Vocational Nurses,632430.0,62340.0,2.482317215690521,-0.5137373
13-1032,"Insurance Appraisers, Auto Damage",7790.0,76650.0,2.481708445607936,0.6634955
43-4151,Order Clerks,83420.0,44660.0,2.4816228085200898,0.8388861
31-9091,Dental Assistants,375430.0,47300.0,2.4813234415636667,-0.5268759
51-1011,First-Line Supervisors of Production and Operating Workers,685140.0,71190.0,2.479452776134708,-0.0845282
29-1292,Dental Hygienists,219070.0,94260.0,2.4773982605503337,
27-4032,Film and Video Editors,28860.0,70980.0,2.473988554136468,0.985707
29-2099,"Health Technologists and Technicians, All Other",174060.0,48790.0,2.473558493445769,-0.283854
25-2051,"Special Education Teachers, Preschool",28200.0,62190.0,2.4727768160852586,0.3750564
25-3041,Tutors,174660.0,40090.0,2.4719554937623167,
41-2022,Parts Salespersons,265060.0,37440.0,2.470952830619368,-0.1184909
53-2012,Commercial Pilots,51830.0,122670.0,2.4670736910009317,-0.1817332
13-2053,Insurance Underwriters,107820.0,79880.0,2.464859185339053,1.326652
19-1022,Microbiologists,19760.0,87330.0,2.4630636376469113,0.6955647
33-3021,Detectives and Criminal Investigators,110790.0,93580.0,2.4628632270029276,0.2257696
11-2011,Advertising and Promotions Managers,21100.0,126960.0,2.4605335071879755,1.294387
53-1041,Aircraft Cargo Handling Supervisors,10160.0,63940.0,2.45942440027436,
19-4071,Forest and Conservation Technicians,31080.0,54310.0,2.4589958581920515,
15-1241,Computer Network Architects,177010.0,130390.0,2.4579255367878217,
19-2011,Astronomers,1560.0,132170.0,2.453834912872428,1.373737
13-2082,Tax Preparers,73570.0,50560.0,2.4481017586452136,1.29371
13-2071,Credit Counselors,28110.0,50480.0,2.447543716978822,1.385381
53-2022,Airfield Operations Specialists,16640.0,56750.0,2.4458993962118054,0.4845738
19-2032,Materials Scientists,8330.0,104160.0,2.444311211026715,1.032757
31-9095,Pharmacy Aides,41100.0,37000.0,2.4438673714839636,-0.1552654
41-9041,Telemarketers,66430.0,34410.0,2.4397616153145667,1.118129
25-2059,"Special Education Teachers, All Other",39350.0,67430.0,2.4378094772701075,-0.6632917
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1187460.0,42010.0,2.437150431849779,-0.2575492
15-1255,Web and Digital Interface Designers,111400.0,98090.0,2.4369678422044756,
43-4081,"Hotel, Motel, and Resort Desk Clerks",261430.0,34270.0,2.435077372853696,0.6063127
17-2011,Aerospace Engineers,68440.0,134830.0,2.431826659522708,1.338738
15-2021,Mathematicians,2220.0,121680.0,2.431687702630773,1.472319
33-9031,Gambling Surveillance Officers and Gambling Investigators,10000.0,43900.0,2.430417993722626,0.7283933
39-2011,Animal Trainers,20110.0,38750.0,2.4291677865875023,-0.9167759
25-3021,Self-Enrichment Teachers,308520.0,45590.0,2.428755846176835,0.526352
25-1022,"Mathematical Science Teachers, Postsecondary",48820.0,79350.0,2.4276149734096832,1.338676
33-9021,Private Detectives and Investigators,38700.0,52370.0,2.4255498343679687,0.7483108
47-3013,Helpers--Electricians,64440.0,39890.0,2.423653371366739,-1.506896
41-9031,Sales Engineers,56690.0,121520.0,2.4233116108705794,1.145416
27-3041,Editors,95480.0,75260.0,2.422542107719906,1.128221
27-4014,Sound Engineering Technicians,13050.0,66430.0,2.4223959394926817,0.4715462
17-2112,Industrial Engineers,350230.0,101140.0,2.418927865985718,1.13787
29-1051,Pharmacists,328870.0,137480.0,2.4174888647918706,0.6058705
29-1291,Acupuncturists,8440.0,78140.0,2.415277005481501,
23-1023,"Judges, Magistrate Judges, and Magistrates",25580.0,156210.0,2.4149984523837897,1.496494
15-1251,Computer Programmers,109870.0,98670.0,2.411470929152558,
25-1063,"Economics Teachers, Postsecondary",12420.0,119980.0,2.41132071968405,1.319012
29-1215,Family Medicine Physicians,107950.0,238380.0,2.4109843986185333,
43-9111,Statistical Assistants,5900.0,51440.0,2.4100194568480826,1.389965
47-4051,Highway Maintenance Workers,151750.0,49070.0,2.408025944387159,-1.27909
27-3091,Interpreters and Translators,53360.0,59440.0,2.407468766798543,1.111319
47-4011,Construction and Building Inspectors,137210.0,72120.0,2.405291235212712,0.2860245
15-1254,Web Developers,78860.0,90930.0,2.4043500350835973,
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",211000.0,48880.0,2.4024423714114898,1.234523
47-2111,Electricians,742580.0,62350.0,2.3994853723047354,-0.7796905
33-3031,Fish and Game Wardens,6420.0,68180.0,2.3967998327484983,-0.4585168
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",4590.0,34530.0,2.3944006821178747,1.107101
41-3041,Travel Agents,59150.0,48450.0,2.3939625735017427,1.133598
33-9011,Animal Control Workers,11790.0,45830.0,2.390870949206979,-0.5946321
17-2141,Mechanical Engineers,286760.0,102320.0,2.3906116302408247,1.004709
17-2199,"Engineers, All Other",150750.0,117750.0,2.3904813032722285,0.787566
29-1131,Veterinarians,80630.0,125510.0,2.390142433706266,-0.0749958
43-4061,"Eligibility Interviewers, Government Programs",156260.0,51500.0,2.3893245326436667,1.226286
43-3071,Tellers,339340.0,39340.0,2.3877010565683627,0.4727723
31-1133,Psychiatric Aides,34900.0,41590.0,2.387688328808522,
29-2035,Magnetic Resonance Imaging Technologists,41530.0,88180.0,2.3775384008142177,-0.0727627
17-1021,Cartographers and Photogrammetrists,12790.0,78380.0,2.3763682483340207,0.8169979
29-9093,Surgical Assistants,22860.0,60290.0,2.3719001211961204,
31-2021,Physical Therapist Assistants,108010.0,65510.0,2.367577620548203,-0.5308535
33-2011,Firefighters,332240.0,59530.0,2.3664108945382374,-1.320232
19-4061,Social Science Research Assistants,32940.0,58040.0,2.36559996209985,1.204652
29-2052,Pharmacy Technicians,487920.0,43460.0,2.3641468098178855,0.0070256
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",14220.0,96310.0,2.3586143020599697,1.068559
47-5013,"Service Unit Operators, Oil and Gas",44120.0,57980.0,2.3583073587245678,-0.971916
19-1042,"Medical Scientists, Except Epidemiologists",156300.0,100590.0,2.3577008226594156,1.279928
43-6011,Executive Secretaries and Executive Administrative Assistants,472770.0,74260.0,2.355427535536228,1.079643
29-2036,Medical Dosimetrists,3970.0,138110.0,2.353180067258481,
29-1124,Radiation Therapists,18700.0,101990.0,2.348731474274573,-0.2189393
15-1212,Information Security Analysts,179430.0,124910.0,2.347377353620206,
19-3034,School Psychologists,63830.0,86930.0,2.346108743237997,
35-3011,Bartenders,745610.0,33530.0,2.3441383177213373,-0.6159883
29-2092,Hearing Aid Specialists,10580.0,61560.0,2.3438613227178076,0.5648953
53-2021,Air Traffic Controllers,22400.0,144580.0,2.341865844382635,1.152798
