soc_code,title,spec_score,spec_residual,complexity_pc1,aioe_score,emp_2005,wage_2005,emp_2009,wage_2009,emp_2014,wage_2014,emp_2019,wage_2019,emp_2024,wage_2024,emp_growth,emp_cagr,real_wage_2005,real_wage_2009,real_wage_2014,real_wage_2019,real_wage_2024,real_wage_growth,spec_tercile,aioe_tercile,emp_growth_w
11-9021,Construction managers,2.766501611516481,0.0911593862176514,6.75579842183467,1.029139,192610.0,72260.0,204760.0,82330.0,227710.0,85630.0,293380.0,95260.0,348330.0,106980.0,0.8084730803177406,0.031674602674129027,115882.39631336405,120213.31468531468,113305.09505703422,116681.39225655065,106980.0,-0.07682268055012069,Specification,High AI,0.8084730803177406
11-9031,"Education administrators, preschool and child care center/program",2.682944427537335,0.20732667686714246,4.737374299254974,0.838007,47670.0,37010.0,51140.0,41060.0,47150.0,45260.0,52360.0,48210.0,71620.0,56270.0,0.5024124187119782,0.021656007064831062,59352.44239631336,59953.342657342655,59887.756653992394,59051.122409073134,56270.0,-0.05193455015264584,Specification,High AI,0.5024124187119782
11-9032,"Education administrators, elementary and secondary school",3.056730091510974,0.11571826833379939,9.440666793579092,1.048811,213250.0,75400.0,219280.0,85220.0,231800.0,89540.0,271020.0,96400.0,319630.0,104070.0,0.4988511137162954,0.02152840455799465,120917.97235023041,124433.11888111888,118478.78326996198,118077.74736018771,104070.0,-0.13933389737491994,Specification,High AI,0.4988511137162954
11-9033,"Education administrators, postsecondary",2.8238132758863803,0.20135793633979437,6.221321281920146,1.461149,105360.0,70350.0,105900.0,82800.0,131070.0,88390.0,144880.0,95410.0,176420.0,103960.0,0.6744495064540622,0.02750215115563659,112819.35483870967,120899.58041958041,116957.1102661597,116865.12319123973,103960.0,-0.07852690570137809,Specification,High AI,0.6744495064540622
11-9041,Engineering managers,2.474311880026807,0.004333287891558069,4.680384720791221,0.8370105,187410.0,100760.0,178110.0,117000.0,179320.0,130620.0,194250.0,144830.0,210340.0,167740.0,0.1223520623232485,0.006093571725514835,161587.46543778802,170836.36363636362,172835.58935361216,177398.34180680485,167740.0,0.03807556821033705,Specification,High AI,0.1223520623232485
11-9051,Food service managers,2.0439531952409125,0.20410402834725594,-1.687730326800171,-0.1213112,191420.0,41340.0,190250.0,47210.0,198610.0,48560.0,235470.0,55320.0,244230.0,65310.0,0.275885487409884,0.012905750462042231,66296.40552995392,68933.2027972028,64254.29657794677,67759.96871333594,65310.0,-0.014878718115543109,Middle,Medium AI,0.275885487409884
11-9171,Funeral directors,2.6082223416807557,-0.08886517071165878,6.97555722757805,,21960.0,47630.0,25820.0,54370.0,8330.0,68870.0,9400.0,76350.0,13120.0,76830.0,-0.40255009107468126,-0.02674555765608566,76383.59447004608,79387.80419580419,91128.36501901141,93519.04575674619,76830.0,0.005844259268644083,Specification,,-0.40255009107468126
11-9071,Gaming managers,2.48400521676932,0.1521535478557703,3.2844680995219298,0.8299207,3310.0,59940.0,3390.0,67380.0,3870.0,67310.0,4450.0,74970.0,4620.0,85580.0,0.3957703927492447,0.01770471949321495,96124.97695852534,98384.22377622378,89064.1825095057,91828.72115760657,85580.0,-0.10970069686544776,Specification,High AI,0.3957703927492447
11-9081,Lodging managers,2.6721752447127893,0.15413087680948356,5.166139516046753,0.4021726,31040.0,40610.0,31660.0,46300.0,31740.0,47680.0,38340.0,54430.0,41350.0,68130.0,0.3321520618556701,0.015209009416983665,65125.71428571428,67604.47552447552,63089.885931558936,66669.83183418067,68130.0,0.04613056067386159,Specification,Medium AI,0.3321520618556701
11-9111,Medical and health services managers,2.975268359543583,0.13424076693296705,8.430221863240167,1.260259,230130.0,69700.0,271710.0,81850.0,310320.0,92810.0,394910.0,100980.0,565840.0,117960.0,1.45878416547169,0.04848985334218625,111776.95852534562,119512.44755244754,122805.62737642585,123687.66523269456,117960.0,0.05531588581605902,Specification,High AI,1.45878416547169
